"Server","TimeCreated","LogName","Source","Id","Level","Message"
"ASPYKTOTSSQL2","7/22/2026 6:11:19 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 6:16:19 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 6:21:19 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 6:26:19 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 6:31:19 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 6:36:19 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 6:41:19 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 6:46:19 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 6:51:19 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 6:56:19 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 7:01:19 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 7:06:19 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
