"Server","File","TimeCreated","Line"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:46:19 PM","2026-07-22 18:46:19.60 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:51:19 PM","2026-07-22 18:51:19.63 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:51:19 PM","2026-07-22 18:51:19.63 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:56:19 PM","2026-07-22 18:56:19.66 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:56:19 PM","2026-07-22 18:56:19.66 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 7:01:19 PM","2026-07-22 19:01:19.69 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 7:01:19 PM","2026-07-22 19:01:19.69 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 7:06:19 PM","2026-07-22 19:06:19.72 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 7:06:19 PM","2026-07-22 19:06:19.72 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 7:11:19 PM","2026-07-22 19:11:19.75 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 7:11:19 PM","2026-07-22 19:11:19.75 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 7:16:19 PM","2026-07-22 19:16:19.88 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 7:16:19 PM","2026-07-22 19:16:19.88 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 7:21:20 PM","2026-07-22 19:21:20.04 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 7:21:20 PM","2026-07-22 19:21:20.04 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 7:26:20 PM","2026-07-22 19:26:20.07 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 7:26:20 PM","2026-07-22 19:26:20.07 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 7:31:20 PM","2026-07-22 19:31:20.09 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 7:31:20 PM","2026-07-22 19:31:20.09 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 7:51:35 PM","2026-07-22 19:51:35.39 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 7:51:35 PM","2026-07-22 19:51:35.39 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 7:56:35 PM","2026-07-22 19:56:35.42 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 7:56:35 PM","2026-07-22 19:56:35.42 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:01:35 PM","2026-07-22 20:01:35.46 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:01:35 PM","2026-07-22 20:01:35.46 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:06:35 PM","2026-07-22 20:06:35.49 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
